epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.7092,2.04626,3.34462,1.10046,0.39005,0.11652,0.0705,0.0354,1.68726,1.93011,1.01333,0.000236531,0.000236531,0.000236531
2,76.6565,1.86716,1.9141,1.05642,0.55568,0.13973,0.10749,0.05967,1.58183,1.57886,0.97914,0.000469833,0.000469833,0.000469833
3,107.608,1.81499,1.72637,1.04523,0.35309,0.15767,0.11069,0.06362,1.59607,1.63349,0.97919,0.000698423,0.000698423,0.000698423
4,137.43,1.80635,1.64719,1.03659,0.2932,0.16303,0.1284,0.07274,1.53435,1.43575,0.97726,0.000692794,0.000692794,0.000692794
5,169.281,1.76402,1.57576,1.03796,0.4076,0.17411,0.14052,0.07966,1.54487,1.45,0.96744,0.000685726,0.000685726,0.000685726
6,200.171,1.74996,1.52669,1.02472,0.43093,0.18866,0.15817,0.09064,1.52709,1.33855,0.97208,0.000678657,0.000678657,0.000678657
7,231.14,1.72054,1.48394,1.02217,0.44576,0.18784,0.16703,0.0944,1.4928,1.28553,0.95968,0.000671588,0.000671588,0.000671588
8,262.246,1.73493,1.47158,1.02113,0.43812,0.18487,0.15728,0.09051,1.52433,1.32124,0.96686,0.00066452,0.00066452,0.00066452
9,293.342,1.69416,1.43089,1.01285,0.3834,0.18901,0.17617,0.09959,1.48311,1.25587,0.95875,0.000657451,0.000657451,0.000657451
10,323.966,1.69995,1.4102,1.00477,0.35597,0.20634,0.18422,0.10567,1.4622,1.20541,0.95374,0.000650383,0.000650383,0.000650383
11,354.637,1.65415,1.37324,1.00501,0.36652,0.20947,0.18773,0.10809,1.44496,1.20047,0.95079,0.000643314,0.000643314,0.000643314
12,384.868,1.65681,1.35686,1.00502,0.35762,0.21078,0.18406,0.10354,1.49672,1.2611,0.95599,0.000636245,0.000636245,0.000636245
13,414.004,1.65965,1.35351,1.00027,0.39658,0.21526,0.19944,0.11518,1.44274,1.17577,0.94731,0.000629177,0.000629177,0.000629177
14,444.976,1.65508,1.34895,1.00177,0.40463,0.21367,0.19336,0.11093,1.44655,1.21776,0.95579,0.000622108,0.000622108,0.000622108
15,472.821,1.64288,1.33388,0.9957,0.38871,0.22532,0.20886,0.12017,1.4236,1.15157,0.94328,0.00061504,0.00061504,0.00061504
16,504.772,1.63412,1.31495,0.9974,0.40452,0.21549,0.19716,0.11167,1.47367,1.17813,0.95249,0.000607971,0.000607971,0.000607971
17,537.341,1.63219,1.31481,0.99692,0.41656,0.22405,0.20939,0.11948,1.4232,1.14006,0.9454,0.000600902,0.000600902,0.000600902
18,568.734,1.61703,1.30232,0.998,0.35702,0.22316,0.20984,0.12357,1.40073,1.1431,0.94417,0.000593834,0.000593834,0.000593834
